Geometric Albedo

Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich-silicate	Fe-oxidized	
micron			

5.060950e-01	7.794795e-02	4.196785e-01	4.804587e-01	2.115848e-01	4.954602e-01	4.869326e-01	3.120283e-01	1.592382e-01	
5.106007e-01	7.822596e-02	4.291921e-01	4.810691e-01	2.121687e-01	4.966351e-01	4.946690e-01	3.125406e-01	1.597655e-01	
5.151465e-01	7.974975e-02	4.366286e-01	4.820421e-01	2.130423e-01	4.970973e-01	4.989890e-01	3.133068e-01	1.610691e-01	
5.197328e-01	7.947651e-02	4.433469e-01	4.829548e-01	2.139808e-01	4.980377e-01	5.060841e-01	3.141308e-01	1.612034e-01	
5.243599e-01	7.988287e-02	4.492457e-01	4.834133e-01	2.147256e-01	4.991164e-01	5.137202e-01	3.147850e-01	1.611539e-01	
5.290281e-01	8.036872e-02	4.533671e-01	4.839757e-01	2.153499e-01	4.998453e-01	5.164670e-01	3.153328e-01	1.614106e-01	
5.337380e-01	8.104355e-02	4.585369e-01	4.843739e-01	2.159795e-01	5.001817e-01	5.199135e-01	3.158863e-01	1.617156e-01	
5.384898e-01	8.127691e-02	4.638458e-01	4.849197e-01	2.165517e-01	5.010848e-01	5.210854e-01	3.163892e-01	1.620520e-01	
5.432838e-01	8.207650e-02	4.686349e-01	4.853249e-01	2.170288e-01	5.022826e-01	5.286884e-01	3.168076e-01	1.624000e-01	
5.481206e-01	8.211581e-02	4.732256e-01	4.860312e-01	2.178181e-01	5.029952e-01	5.327867e-01	3.175021e-01	1.630609e-01	
5.530004e-01	8.186396e-02	4.768281e-01	4.868166e-01	2.186378e-01	5.027623e-01	5.366662e-01	3.182236e-01	1.636962e-01	
5.579237e-01	8.264199e-02	4.790406e-01	4.874345e-01	2.195551e-01	5.034607e-01	5.390516e-01	3.190314e-01	1.634631e-01	
5.628908e-01	8.315031e-02	4.808994e-01	4.881988e-01	2.204538e-01	5.044518e-01	5.418751e-01	3.198227e-01	1.633502e-01	
5.679021e-01	8.369677e-02	4.812352e-01	4.890753e-01	2.213281e-01	5.050453e-01	5.444093e-01	3.205924e-01	1.637085e-01	
5.729580e-01	8.417584e-02	4.811970e-01	4.899155e-01	2.220113e-01	5.056436e-01	5.490170e-01	3.211944e-01	1.640837e-01	
5.780590e-01	8.432599e-02	4.806077e-01	4.909681e-01	2.227821e-01	5.066379e-01	5.517140e-01	3.218734e-01	1.650730e-01	
5.832053e-01	8.489675e-02	4.790739e-01	4.918708e-01	2.234315e-01	5.073988e-01	5.513119e-01	3.224454e-01	1.664397e-01	
5.883975e-01	8.552857e-02	4.780999e-01	4.927762e-01	2.239523e-01	5.075900e-01	5.555836e-01	3.229036e-01	1.664918e-01	
5.936359e-01	8.495990e-02	4.764110e-01	4.934742e-01	2.245300e-01	5.078507e-01	5.577385e-01	3.234121e-01	1.667865e-01	
5.989209e-01	8.376001e-02	4.740956e-01	4.943847e-01	2.247911e-01	5.081221e-01	5.609665e-01	3.236411e-01	1.674905e-01	
6.042530e-01	8.469152e-02	4.717682e-01	4.952156e-01	2.249917e-01	5.083719e-01	5.626190e-01	3.238166e-01	1.681877e-01	
6.096326e-01	8.494480e-02	4.690401e-01	4.960365e-01	2.255572e-01	5.084632e-01	5.647793e-01	3.243136e-01	1.696312e-01	
6.150600e-01	8.458555e-02	4.657212e-01	4.966975e-01	2.259579e-01	5.090036e-01	5.661907e-01	3.246660e-01	1.705611e-01	
6.205358e-01	8.475450e-02	4.613719e-01	4.979523e-01	2.264577e-01	5.085982e-01	5.681139e-01	3.251044e-01	1.706516e-01	
6.260603e-01	8.528138e-02	4.582717e-01	4.989195e-01	2.266879e-01	5.087148e-01	5.681765e-01	3.253051e-01	1.700093e-01	
6.316340e-01	8.488623e-02	4.554841e-01	4.998456e-01	2.270150e-01	5.091872e-01	5.683095e-01	3.255918e-01	1.693788e-01	
6.372573e-01	8.547955e-02	4.532648e-01	5.007249e-01	2.273129e-01	5.088068e-01	5.709334e-01	3.258525e-01	1.703062e-01	
6.429307e-01	8.540131e-02	4.516886e-01	5.019990e-01	2.277087e-01	5.088647e-01	5.721630e-01	3.261995e-01	1.704430e-01	
